block	species	chr	chr_beg	chr_end	orientation
1619	CP026803	1	1789893	1790902	-
1618	CP019696	1	79144	80267	+
1618	CP010830	1	79149	80272	+
1618	CP023646	1	23724	24847	-
1617	CP026802	1	3589712	3590891	+
1617	CP041620	1	2771259	2772438	+
1617	HE616528	1	4441949	4443128	-
1616	CP026802	1	3581795	3585023	+
1616	HE616528	1	4447817	4451044	-
1615	CP026802	1	2689552	2690812	+
1615	HE616528	1	319644	320904	-
1615	HE616528	1	1251220	1252482	+
1614	CP026802	1	1688276	1689395	+
1614	HE616528	1	1316926	1318045	-
1613	CP026802	1	1680430	1681580	+
1613	HE616528	1	1324741	1325891	-
1612	CP026802	1	1568715	1572309	+
1612	HE616528	1	1443938	1447548	-
1611	CP026802	1	1565090	1568713	+
1611	HE616528	1	1449665	1453292	-
1610	CP026802	1	1549010	1563755	+
1610	HE616528	1	1454627	1469374	-
1609	CP026802	1	1539001	1547612	+
1609	HE616528	1	1470857	1480705	-
1608	CP026802	1	1066753	1068024	+
1608	HE616528	1	1953227	1954498	-
1607	CP026802	1	1055087	1056122	+
1607	HE616528	1	1962367	1963403	+
1606	CP026824	1	4424875	4426042	+
1606	CP026846	1	1829976	1831143	+
1605	CP026824	1	4243956	4247498	+
1605	CP027027	1	3972470	3976014	-
1604	CP026824	1	4240356	4241552	+
1604	CP027027	1	3978422	3979618	-
1603	CP026824	1	3899675	3900897	+
1603	CP026877	1	1720209	1721431	-
1603	CP027027	1	4298322	4299545	-
1602	CP026824	1	3867406	3868445	+
1602	CP027027	1	4330801	4331839	-
1601	CP026824	1	3858610	3859962	+
1601	CP027027	1	4339291	4340641	-
1600	CP026824	1	1817674	1818992	+
1600	CP026824	1	1828847	1830112	+
1600	CP027027	1	696046	697311	+
1599	CP026824	1	1289412	1290679	+
1599	CP027027	1	3570706	3571974	-
1598	CP026824	1	1039433	1052982	+
1598	CP027027	1	2103190	2116758	-
1597	CP026811	1	2583156	2584488	+
1597	CP026840	1	3198263	3199595	+
1597	CP026766	1	3144523	3145854	-
1597	CP026845	1	2916295	2917624	+
1597	CP049281	1	276011	277343	-
1597	CP026805	1	3253946	3255277	-
1597	CP001063	1	4339471	4340803	-
1596	CP026811	1	1953911	1954983	+
1596	CP026766	1	3044897	3045925	+
1596	CP026766	1	4444228	4445255	+
1596	CP011511	1	679658	680730	+
1595	CP026811	1	1488649	1491209	+
1595	CP026766	1	4102282	4104845	+
1595	CP011511	1	940149	942708	-
1594	CP026811	1	582738	585082	+
1594	CP026766	1	437565	439898	-
1594	CP001063	1	1324195	1326528	+
1593	CP024467	1	44453	46557	+
1593	CP041620	1	2407304	2409408	-
1592	CP026839	1	3164653	3166592	+
1592	CP026831	1	2933821	2935750	+
1591	CP026839	1	539394	540760	+
1591	CP026762	1	3950279	3951610	-
1590	CP026785	1	149313	150419	+
1590	CP000035	1	174010	175116	-
1590	CP026783	1	136939	138045	+
1590	CP024469	1	54784	55890	-
1589	CP026799	1	2857203	2858961	+
1589	CP012140	1	329020	330778	-
1588	CP026799	1	2117287	2118380	+
1588	CP037923	1	1659192	1660285	+
1587	CP026799	1	514526	515842	+
1587	CP032513	1	2916595	2917901	-
1587	CP026827	1	109834	111153	-
1587	CP026827	1	2375708	2377029	-
1587	CP026827	1	4197258	4198578	-
1587	CP026827	1	4402832	4404160	+
1587	CP026877	1	1926878	1928239	+
1587	CP026766	1	1325806	1327128	-
1587	CP011511	1	1520639	1521966	-
1587	CP026846	1	2597975	2599301	+
1587	CP027027	1	2523899	2525224	+
1586	CP046286	1	3050588	3051659	+
1586	HE616528	1	4156142	4157225	-
1585	CP046286	1	2920099	2922650	+
1585	CP041620	1	2221410	2223860	+
1585	CP027027	1	3835446	3837897	-
1584	CP046286	1	1348670	1349937	+
1584	CP026846	1	1522286	1523553	+
1583	CP049279	1	167190	168277	+
1583	CP026846	1	2825929	2827015	-
1582	CP014099	2	2923498	2925996	+
1582	CP026811	1	2539015	2541513	+
1581	CP044151	1	2810558	2811804	+
1581	CP032523	1	1283325	1284571	+
1580	CP044151	1	2274379	2275691	+
1580	CP032523	1	735361	736673	+
1579	CP044151	1	2023442	2024683	+
1579	CP044151	1	4502476	4503710	+
1578	CP044151	1	1953015	1954265	+
1578	CP032523	1	414789	416039	+
1577	CP044151	1	1779674	1783791	+
1577	CP021144	1	4302104	4306238	+
1577	CP032523	1	192067	196185	+
1577	CP026825	1	1848634	1852764	+
1576	CP044151	1	1728003	1731143	+
1576	CP032523	1	151089	154229	+
1575	CP044151	1	1081685	1084329	+
1575	CP026877	1	1587886	1590515	-
1574	CP044151	1	1077018	1078193	+
1574	CP044151	1	1753877	1755052	-
1573	CP044151	1	652695	653857	+
1573	CP032523	1	4118216	4119378	+
1572	CP044151	1	574894	576063	+
1572	CP032523	1	4011898	4013067	+
1571	CP044151	1	195384	196646	+
1571	CP032523	1	3630413	3631675	+
1571	CP026826	1	77987	79255	+
1571	HE616528	1	772551	773802	-
1570	CP045522	1	2176064	2177239	+
1570	CP026098	1	1838352	1839526	-
1570	CP026098	1	2736285	2737459	-
1569	CP045522	1	1439118	1441957	+
1569	CP032513	1	728778	731620	-
1569	CP026098	1	3482011	3484849	-
1568	CP045522	1	1011194	1012895	+
1568	CP026098	1	3820602	3822381	+
1567	CP045522	1	253850	256502	+
1567	CP026098	1	612215	614868	+
1567	CP026803	1	4290667	4293341	-
1566	CP000036	1	4217294	4224548	+
1566	CP041620	1	3063104	3070350	+
1566	CP041620	1	4247526	4254779	+
1566	CP011511	1	4270699	4277953	+
1566	CP026731	1	367972	375041	-
1565	CP000036	1	2375774	2376974	+
1565	CP026811	1	4614992	4616192	-
1564	CP000036	1	1984813	1985829	+
1564	CP026840	1	2731633	2732645	+
1563	CP000036	1	873430	880389	+
1563	CP011511	1	1018459	1025417	-
1562	CP026832	1	4438260	4439304	+
1562	CP045784	1	2095026	2096086	-
1562	CP034935	1	2889851	2890895	-
1562	CP026834	1	2624787	2625831	+
1562	CP026805	1	2761233	2762277	+
1561	CP026832	1	4327636	4328965	+
1561	CP044151	1	3936330	3937683	+
1561	CP046286	1	2292553	2293870	-
1561	CP032523	1	2408737	2410090	+
1561	CP045784	1	541557	542889	-
1561	CP026766	1	1402694	1404024	+
1561	CP026766	1	2901303	2902635	-
1561	CP026825	1	2270626	2271957	+
1561	CP034935	1	4417099	4418431	+
1561	CP026834	1	1030202	1031534	-
1561	CP011511	1	4326849	4328181	+
1561	CP026805	1	1162494	1163826	-
1561	CP027027	1	3407578	3408914	-
1560	CP026832	1	3985975	3987304	+
1560	CP026824	1	799688	801015	-
1560	CP026824	1	3411251	3412580	-
1560	CP026825	1	210177	211506	+
1559	CP026832	1	3456365	3457682	+
1559	CP044151	1	2312795	2314126	+
1559	CP032523	1	784776	786107	+
1559	CP026825	1	4377594	4378911	+
1559	CP026834	1	1633898	1635215	+
1558	CP026832	1	2923223	2924792	+
1558	CP026840	1	268228	269797	+
1558	CP034935	1	4395003	4396573	-
1558	CP026834	1	1052059	1053630	+
1558	CP049281	1	1592227	1593797	-
1558	CP026805	1	1184348	1185917	+
1557	CP026832	1	2593698	2594912	+
1557	CP026840	1	4649116	4650334	+
1557	CP026828	1	2837303	2838516	-
1557	CP045784	1	3969835	3971048	-
1557	CP026766	1	4459331	4460544	-
1557	CP026825	1	3483151	3484365	+
1557	CP034935	1	95788	97001	-
1557	CP026834	1	711942	713156	+
1557	CP026805	1	831360	832574	+
1556	CP026832	1	1898575	1899745	+
1556	CP026825	1	2790225	2791395	+
1555	CP026832	1	1714597	1715714	+
1555	CP034935	1	976608	977740	-
1555	CP026834	1	4522740	4523873	+
1555	CP026805	1	39681	40814	+
1554	CP049278	1	4100969	4102387	+
1554	CP026846	1	4214856	4216274	+
1553	CP049278	1	4094443	4095825	+
1553	CP026877	1	2523080	2524462	+
1553	CP026845	1	3794208	3795589	-
1553	CP026846	1	4207023	4208404	+
1552	CP049278	1	4057537	4058779	+
1552	CP027027	1	1089348	1090583	+
1552	CP027027	1	1467633	1468880	-
1552	CP027027	1	4469070	4470315	-
1551	CP049278	1	3984247	3985285	+
1551	CP049278	1	4220724	4221761	-
1550	CP049278	1	3784087	3785487	+
1550	CP026877	1	2214657	2216042	+
1550	CP026845	1	4099221	4100622	-
1550	CP026846	1	3898155	3899555	+
1549	CP049278	1	3486948	3491606	+
1549	CP026846	1	3597417	3602075	+
1548	CP049278	1	3482365	3483826	+
1548	CP026846	1	3592777	3594295	+
1547	CP049278	1	3480831	3482329	+
1547	CP045522	1	3251477	3252955	+
1547	CP032513	1	2568039	2569517	+
1547	CP026827	1	481686	483087	-
1547	CP026846	1	3591257	3592741	+
1547	CP026098	1	1640459	1641936	-
1546	CP049278	1	3031691	3032931	+
1546	CP026824	1	4161160	4162404	+
1546	CP026846	1	3130602	3131842	+
1546	CP027027	1	3283657	3284899	+
1546	CP027027	1	4049565	4050810	-
1545	CP049278	1	2724554	2725637	+
1545	CP044151	1	692362	693445	+
1545	CP026802	1	1062952	1064035	-
1545	CP032523	1	4159151	4160234	+
1545	HE616528	1	1957216	1958299	+
1545	CP026846	1	2822312	2823395	+
1544	CP049278	1	2687442	2688539	+
1544	CP026846	1	2774831	2775928	+
1543	CP049278	1	2600635	2601944	+
1543	CP026827	1	2689203	2690571	-
1543	CP026827	1	3526154	3527465	+
1543	CP026827	1	3766812	3768135	+
1543	CP026846	1	2699954	2701272	-
1543	CP001063	1	2295001	2296322	+
1542	CP049278	1	2597705	2599067	+
1542	CP026846	1	2683805	2685167	+
1541	CP049278	1	2572139	2573460	+
1541	CP026846	1	2658249	2659570	+
1540	CP049278	1	1981813	1989465	+
1540	CP026846	1	2086848	2094498	+
1539	CP049278	1	1801570	1802793	+
1539	CP049278	1	2144482	2145700	-
1539	CP049278	1	2145967	2147187	+
1538	CP049278	1	1506095	1507100	+
1538	CP049278	1	1722127	1723127	-
1538	CP049278	1	1933409	1934410	+
1538	CP049279	1	86568	87568	-
1538	CP049279	1	199706	200707	+
1538	CP026846	1	1611117	1612122	+
1538	CP026846	1	2686735	2687740	+
1537	CP049278	1	1427075	1428985	+
1537	CP026877	1	4712824	4714734	+
1537	CP026845	1	1587914	1589822	-
1537	CP026846	1	1534055	1535964	+
1536	CP049278	1	1319481	1320481	+
1536	CP026846	1	1426428	1427428	+
1535	CP049278	1	1218322	1222106	+
1535	CP041620	1	1729836	1733618	-
1535	CP026877	1	4498235	4502018	+
1535	CP026845	1	1791692	1795473	-
1534	CP049278	1	1215966	1217051	+
1534	CP041620	1	1733620	1734711	-
1534	CP026877	1	4497088	4498234	+
1534	CP026845	1	1795475	1796566	-
1534	CP026846	1	1332367	1333452	+
1533	CP049278	1	1205131	1214696	+
1533	CP026846	1	1300819	1310387	-
1532	CP049278	1	1097479	1098742	+
1532	CP026846	1	1208401	1209664	+
1532	CP026846	1	2995068	2996291	+
1531	CP049278	1	1094329	1095489	+
1531	CP049278	1	3665860	3667014	+
1530	CP049278	1	893983	895228	+
1530	CP049279	1	129139	130368	+
1529	CP049278	1	850284	852558	+
1529	CP026839	1	1077928	1080200	+
1529	CP026811	1	2497499	2499771	-
1529	CP026840	1	2698504	2700776	+
1529	CP026845	1	2144497	2146769	-
1529	CP026846	1	918797	921083	+
1528	CP049278	1	848483	849521	+
1528	CP049278	1	2543558	2544598	+
1528	CP049278	1	2932890	2933928	+
1528	CP049278	1	3700556	3701594	-
1527	CP049278	1	842990	844027	+
1527	CP026839	1	1035637	1036673	+
1527	CP026845	1	2187778	2188815	-
1527	CP026846	1	911411	912448	+
1526	CP049278	1	841248	842544	+
1526	CP014099	2	2925998	2927293	-
1526	CP026839	1	1032558	1033854	+
1526	CP026811	1	2541515	2542810	-
1526	CP026840	1	2656766	2658062	+
1526	CP026827	1	4283421	4284711	-
1526	CP026845	1	2189261	2190556	-
1526	CP026846	1	909669	910965	+
1525	CP049278	1	770040	771608	+
1525	CP026824	1	1641121	1642689	-
1525	CP026877	1	4036301	4037869	+
1525	CP026846	1	838266	839834	+
1525	CP027027	1	1512400	1513970	+
1524	CP049278	1	343170	344436	+
1524	CP049278	1	1217053	1218321	-
1524	CP046286	1	4241897	4243163	-
1524	CP026802	1	1633154	1634418	-
1524	HE616528	1	1371905	1373168	+
1524	CP026877	1	2222784	2224069	+
1524	CP026877	1	3600573	3601839	+
1524	CP026846	1	2338761	2340025	+
1524	CP032524	1	63214	64478	-
1523	CP049278	1	281414	282657	+
1523	CP049279	1	186750	187994	-
1523	CP027027	1	498360	499595	+
1523	CP027027	1	3422732	3423988	+
1523	CP027027	1	3793460	3794702	-
1522	CP049278	1	279869	281105	+
1522	CP026846	1	4750090	4751322	-
1521	CP049278	1	116418	117747	+
1521	CP026846	1	42721	44050	-
1520	CP026782	1	3258220	3259284	+
1520	CP026784	1	3197205	3198269	-
1520	CP026878	1	1540480	1541544	-
1520	CP026786	1	595171	596235	-
1520	CP026780	1	899163	900227	+
1520	CP026774	1	813096	814160	-
1520	CP026777	1	3250174	3251238	+
1519	CP041322	1	4230755	4231778	+
1519	CP026831	1	1721993	1723001	+
1518	CP012733	1	35232	36634	+
1518	CP012735	1	4683309	4684703	-
1517	CP012733	1	11075	12343	+
1517	CP012735	1	4666550	4667818	-
1516	CP026795	1	2522770	2528121	+
1516	CP049281	1	1680552	1685903	+
1515	CP026795	1	1643061	1644378	+
1515	CP026763	1	28066	29399	+
1515	CP026814	1	4206047	4207365	-
1515	CP027027	1	3768397	3769730	+
1514	CP026795	1	238433	245297	+
1514	CP041620	1	2409871	2416476	-
1513	CP010829	1	1875554	1876642	+
1513	CP000038	1	1873405	1874493	+
1512	CP041513	1	3940468	3946337	+
1512	CP001063	1	1103015	1108885	+
1511	CP041513	1	3750414	3751743	+
1511	CP026795	1	3436616	3437948	-
1511	CP053751	1	2704637	2705964	+
1511	CP041322	1	3411455	3412782	+
1511	CP049173	1	1199451	1200780	-
1511	CP044151	1	3852775	3854090	+
1511	CP026839	1	1738256	1739585	-
1511	CP026839	1	2605812	2607145	-
1511	CP026802	1	2849352	2850667	-
1511	CP032523	1	2325182	2326497	+
1511	CP026840	1	570666	571998	-
1511	CP026840	1	1137801	1139134	-
1511	HE616528	1	160676	161991	+
1511	CP026828	1	1509079	1510411	+
1511	CP026828	1	2191780	2193112	+
1511	CP045784	1	2794225	2795558	+
1511	CP026762	1	4177877	4179209	+
1511	CP049281	1	486387	487719	+
1511	CP022455	1	747066	748393	+
1511	CP026814	1	2416990	2418322	+
1511	CP026814	1	3401085	3402414	+
1511	CP001063	1	4542945	4544277	+
1511	CP027027	1	2650415	2651747	-
1510	CP041513	1	2563140	2564257	+
1510	CP026762	1	3623551	3624650	-
1510	CP049281	1	848790	849906	+
1510	CP049281	1	1609925	1611026	+
1510	CP049281	1	3970939	3972037	+
1510	CP026814	1	2203972	2205089	+
1509	CP041513	1	2509721	2510924	+
1509	CP026814	1	2149032	2150235	+
1508	CP041513	1	57038	58359	+
1508	CP041513	1	802773	804094	+
1508	CP026795	1	823644	824965	-
1508	CP026827	1	3254232	3255552	+
1508	CP011511	1	2164092	2165406	+
1508	CP011511	1	3251529	3252850	+
1508	CP026762	1	1456561	1457882	+
1508	CP049281	1	2361784	2363105	+
1508	CP049281	1	3105960	3107281	+
1508	CP026814	1	436847	438168	+
1508	CP026814	1	4267121	4268442	+
1508	CP026768	1	1481688	1482996	-
1508	CP001063	1	1846039	1847360	+
1508	CP001063	1	2070999	2072323	-
1508	CP001063	1	2569081	2570403	-
1508	CP027027	1	2420010	2421334	-
1507	CP026837	1	210926	212525	+
1507	CP026844	1	115444	117045	-
1507	CP026876	1	54938	56540	+
1506	CP026837	1	127028	135153	+
1506	CP049279	1	77077	85201	+
1506	CP026844	1	214908	223028	-
1506	CP026876	1	104121	113685	+
1506	HE616529	1	48732	56848	-
1505	CP026836	1	5033976	5040392	+
1505	CP026877	1	4312877	4319238	-
1504	CP026836	1	5029153	5032536	+
1504	CP026877	1	4319240	4322619	-
1503	CP026836	1	5026518	5027969	+
1503	CP049278	1	3405189	3406639	-
1503	CP026824	1	3815211	3816659	+
1503	CP026827	1	551785	553235	-
1503	CP026877	1	1803668	1805118	-
1503	CP026845	1	4475496	4476945	+
1503	CP026846	1	3515616	3517066	-
1503	CP014768	1	3135615	3137065	-
1503	CP027027	1	4372730	4374180	-
1502	CP026836	1	4808453	4809630	+
1502	CP026824	1	3589888	3591061	+
1502	CP026877	1	2055338	2056515	-
1502	CP026845	1	4253038	4254214	+
1502	CP027027	1	4598901	4600078	-
1501	CP026836	1	4657189	4663363	+
1501	CP049278	1	3870555	3876730	-
1501	CP026824	1	3440460	3447548	+
1501	CP026877	1	2300165	2306335	-
1501	CP026845	1	4012309	4018483	+
1501	CP026846	1	3983215	3989390	-
1501	CP027027	1	4743711	4750803	-
1500	CP026836	1	4656182	4657187	+
1500	CP049278	1	3876731	3877737	-
1500	CP026824	1	3438299	3439307	+
