Seq_id	Size	Description
117	121087	CP026813.1
118	4875157	CP049167.1
119	4790277	CP049169.1
120	4633147	LR213455.1
121	4409060	CP024466.1
122	4733495	CP026793.1
123	4790242	CP049171.1
124	4837733	CP045932.1
126	59816	CP026732.1
127	4850826	CP049185.1
128	4536577	CP054913.1
129	217451	CP034059.1
130	4854083	CP049175.1
132	4891717	CP019689.1
134	4881289	CP049177.1
135	67979	CP022460.1
136	144185	CP020343.1
137	4593357	CP044155.1
139	4883246	CP049179.1
140	4572378	CP049285.1
141	4559509	CP049606.1
142	185254	CP049286.1
144	4302517	CP006736.1
145	4623211	CP020086.1
146	222071	CP044154.1
147	10703	CP030774.1
148	4646736	CP020339.1
149	4588449	CP026842.1
150	224256	CP058591.1
152	103094	CP026838.1
153	4574284	CP000266.1
154	5106694	CP026836.1
155	4620903	CP004057.1
156	213404	CP026837.1
157	4569995	CP041513.1
159	4824850	CP010829.1
160	4574971	CP026795.1
161	4818418	CP053751.1
163	4926401	CP041511.1
164	146462	CP044160.1
165	41636	CP012733.1
166	106437	CP026843.1
167	4655470	CP037996.1
168	4908612	CP041322.1
169	232195	CP037924.1
170	4464167	CP026782.1
171	4820649	CP049278.1
172	146337	CP026798.1
173	4586233	CP034060.1
174	27094	CP044153.1
175	4791971	CP049173.1
176	4619326	CP026832.1
177	135364	CP026800.1
179	4519823	CP000036.1
180	4549591	CP045522.1
181	212834	CP053752.1
182	126670	CP000037.1
183	4835123	CP049165.1
184	4962674	CP044151.1
185	4878943	CP014099.2
187	5632	CP032525.1
188	8953	CP000640.1
189	4805371	CP035008.1
191	216063	CP049279.1
192	4877883	CP046286.1
193	251302	CP026794.1
194	149179	CP027028.1
195	5034	CP034069.1
196	83899	CP010831.1
197	226559	CP026796.1
198	88944	CP041619.1
199	4511010	CP026799.1
200	4591632	CP042980.1
201	113130	CP026789.1
202	222118	CP033511.1
203	51058	CP026733.1
204	204115	CP026785.1
205	4661857	CP020336.1
206	4687	CP046289.1
207	4607202	AE005674.2
209	59755	CP026791.1
210	215880	CP026841.1
211	4273375	CP026839.1
212	230094	CP026844.1
213	54993	CP024467.1
214	4533687	CP024473.1
215	27054	CP026769.1
216	4849595	CP022672.1
217	4659707	CP026811.1
218	4971488	CP026824.1
219	4596681	CP037923.1
220	4391130	CP026784.1
221	4974937	CP026802.1
222	63407	CP012734.1
223	214546	CP019696.1
224	99046	CP026835.1
225	4718998	CP033510.1
227	4698633	CP012735.1
228	221269	CP030773.1
229	221591	AF386526.1
230	4937057	CP041620.1
231	208836	CP049282.1
232	89848	CP045527.2
233	4935563	CP021144.1
234	113065	CP022673.1
235	5032705	CP032523.1
236	108375	CP041512.1
237	224352	CP026826.1
238	4716399	CP026840.1
239	4828074	CP034067.1
240	4988504	HE616528.1
241	223354	CP020337.1
242	4575536	CP032513.1
243	228834	CP020087.1
244	4880702	CP026831.1
245	4557851	CP026827.1
247	4790250	CP045524.1
248	166502	CP026876.1
249	4661157	CP012137.1
250	5129048	CP026877.1
251	216328	CP026829.1
252	4642148	CP026828.1
253	4716507	CP045784.1
254	6329	CP019692.1
255	86007	CP049178.1
256	213384	CP046285.1
257	4893359	CP022457.1
258	4677965	CP026766.1
259	109429	CP053753.1
260	4699332	CP026825.1
261	4652753	CP034935.1
262	4723195	CP045941.1
263	182699	CP000035.1
264	234182	CP045942.1
265	4684490	CP026834.1
266	4722057	LR213458.1
267	182647	CP026775.1
268	181081	CP026830.1
269	4574246	CP011511.1
270	209130	CP026767.1
272	4932791	CP026845.1
273	215532	CP010830.1
274	214079	CP023646.1
275	4526576	LM651928.1
276	4594725	CP007037.1
277	69554	CP024474.1
278	229413	CP026099.1
279	4575014	CP026762.1
281	144161	CP012138.1
282	4813450	CP023645.1
283	4825265	CP000038.1
284	222559	CP007038.1
285	4794648	CP022459.1
286	220744	CP026771.1
287	4508774	CP026776.1
288	4369232	CP000034.1
289	4589517	CP049281.1
290	4818812	CP022455.1
291	4599354	AE014073.1
292	4646629	CP044158.1
293	222033	CP012142.1
294	150420	CP026763.1
296	82833	CP024475.1
297	25157	CP012732.1
298	26762	CP049283.1
300	4856857	CP026846.1
301	4595814	CP004056.1
302	177654	CP006737.1
303	6015	CP053756.1
304	215747	HE616529.1
305	4576403	CP026098.1
307	223337	CP001384.1
308	4650856	CP001383.1
309	4571307	CP026765.1
310	4807212	CP037997.1
311	3109	CP001388.1
312	4609265	CP026805.1
313	69929	CP026806.1
314	183210	CP026783.1
315	189186	CP026787.1
316	4566919	CP049163.1
317	67064	CP026781.1
318	69791	CP026879.1
319	4558287	CP014768.1
320	4683636	CP012140.1
321	245744	CP012141.1
322	202403	CP026779.1
323	4580555	CP026814.1
324	4382687	CP026878.1
325	220282	CP024476.1
326	4628330	CP026768.1
327	4584634	CP020753.1
328	4681581	CP020342.1
329	4659463	CP026788.1
330	4615997	CP001063.1
331	4414393	CP026731.1
332	94536	CP032524.1
333	245004	CP026804.1
334	181479	CP026812.1
335	4371742	CP026786.1
336	184894	CP024469.1
337	100586	CP034934.1
338	4481548	CP026803.1
339	68271	CP026764.1
340	89345	CP049174.1
341	5036541	CP027027.1
342	4382729	CP026780.1
343	4395699	CP026774.1
344	4390268	CP026777.1
--------------------------------------------------------------------------------
Block #1709
Seq_id	Strand	Start	End	Length
341	+	2539440	2540527	1087
341	-	3433059	3431976	1083
--------------------------------------------------------------------------------
Block #1708
Seq_id	Strand	Start	End	Length
341	+	1039485	1040743	1258
341	+	3128348	3129590	1242
--------------------------------------------------------------------------------
Block #1707
Seq_id	Strand	Start	End	Length
338	+	2532843	2534040	1197
343	-	3707077	3705849	1228
--------------------------------------------------------------------------------
Block #1706
Seq_id	Strand	Start	End	Length
338	+	1894389	1895401	1012
338	+	4015361	4016390	1029
--------------------------------------------------------------------------------
Block #1705
Seq_id	Strand	Start	End	Length
338	+	1847930	1849169	1239
338	+	2124057	2125281	1224
--------------------------------------------------------------------------------
Block #1704
Seq_id	Strand	Start	End	Length
338	+	863254	864454	1200
338	+	2930168	2931366	1198
338	+	4299169	4300366	1197
--------------------------------------------------------------------------------
Block #1703
Seq_id	Strand	Start	End	Length
338	+	147594	148601	1007
338	+	3218198	3219205	1007
--------------------------------------------------------------------------------
Block #1702
Seq_id	Strand	Start	End	Length
338	+	57912	58946	1034
338	-	107300	106265	1035
338	-	313731	312712	1019
338	+	489505	490539	1034
338	-	927968	926933	1035
338	-	1051534	1050499	1035
338	-	1714796	1713761	1035
338	-	3841226	3840191	1035
338	-	4397089	4396070	1019
--------------------------------------------------------------------------------
Block #1701
Seq_id	Strand	Start	End	Length
324	+	2101541	2102693	1152
342	-	339136	337984	1152
--------------------------------------------------------------------------------
Block #1700
Seq_id	Strand	Start	End	Length
324	+	969544	970564	1020
342	-	1471169	1470148	1021
--------------------------------------------------------------------------------
Block #1699
Seq_id	Strand	Start	End	Length
324	+	782724	783926	1202
335	+	4207645	4208847	1202
342	-	1657992	1656790	1202
--------------------------------------------------------------------------------
Block #1698
Seq_id	Strand	Start	End	Length
324	+	34257	35322	1065
335	+	3465887	3466952	1065
342	-	2406453	2405388	1065
344	-	375638	374573	1065
--------------------------------------------------------------------------------
Block #1697
Seq_id	Strand	Start	End	Length
319	+	3055881	3057322	1441
319	+	3297976	3299419	1443
--------------------------------------------------------------------------------
Block #1696
Seq_id	Strand	Start	End	Length
309	+	2202758	2203764	1006
326	-	539433	538427	1006
327	+	1885281	1886287	1006
--------------------------------------------------------------------------------
Block #1695
Seq_id	Strand	Start	End	Length
300	+	1820478	1821672	1194
300	+	4725064	4726256	1192
--------------------------------------------------------------------------------
Block #1694
Seq_id	Strand	Start	End	Length
285	+	1546500	1547541	1041
300	+	1775565	1776606	1041
--------------------------------------------------------------------------------
Block #1693
Seq_id	Strand	Start	End	Length
279	+	2636889	2638001	1112
279	+	2679352	2680466	1114
--------------------------------------------------------------------------------
Block #1692
Seq_id	Strand	Start	End	Length
269	+	3622868	3623976	1108
331	-	1022468	1021361	1107
--------------------------------------------------------------------------------
Block #1691
Seq_id	Strand	Start	End	Length
268	+	59567	60622	1055
268	-	80393	79338	1055
--------------------------------------------------------------------------------
Block #1690
Seq_id	Strand	Start	End	Length
266	+	2416724	2417885	1161
285	+	4761007	4762162	1155
290	-	1887486	1886331	1155
300	-	1931945	1930784	1161
341	+	1797553	1798719	1166
--------------------------------------------------------------------------------
Block #1689
Seq_id	Strand	Start	End	Length
261	+	4493137	4495496	2359
312	-	1087790	1085432	2358
--------------------------------------------------------------------------------
Block #1688
Seq_id	Strand	Start	End	Length
261	+	4484044	4491752	7708
312	-	1096883	1089175	7708
--------------------------------------------------------------------------------
Block #1687
Seq_id	Strand	Start	End	Length
261	+	2877708	2878987	1279
312	-	2774420	2773141	1279
--------------------------------------------------------------------------------
Block #1686
Seq_id	Strand	Start	End	Length
258	+	4104846	4106235	1389
269	-	940147	938758	1389
--------------------------------------------------------------------------------
Block #1685
Seq_id	Strand	Start	End	Length
253	+	3708869	3719457	10588
260	-	3744151	3733566	10585
--------------------------------------------------------------------------------
Block #1684
Seq_id	Strand	Start	End	Length
252	+	2676909	2678084	1175
252	-	4441636	4440460	1176
258	-	1347808	1346634	1174
--------------------------------------------------------------------------------
Block #1683
Seq_id	Strand	Start	End	Length
252	+	2617872	2619212	1340
341	-	3831293	3829952	1341
--------------------------------------------------------------------------------
Block #1682
Seq_id	Strand	Start	End	Length
250	+	4751689	4753473	1784
250	+	5080945	5082733	1788
--------------------------------------------------------------------------------
Block #1681
Seq_id	Strand	Start	End	Length
250	+	4724011	4749354	25343
250	+	5053825	5079170	25345
--------------------------------------------------------------------------------
Block #1680
Seq_id	Strand	Start	End	Length
250	+	1794999	1797990	2991
272	-	4485606	4482625	2981
300	+	3508166	3511157	2991
--------------------------------------------------------------------------------
Block #1679
Seq_id	Strand	Start	End	Length
250	+	1789786	1792003	2217
272	-	4489553	4487337	2216
300	+	3504204	3506437	2233
--------------------------------------------------------------------------------
Block #1678
Seq_id	Strand	Start	End	Length
250	+	1646775	1647943	1168
272	-	4601459	4600292	1167
341	+	2654475	2655643	1168
--------------------------------------------------------------------------------
Block #1677
Seq_id	Strand	Start	End	Length
250	+	1044101	1045247	1146
250	+	1371871	1373019	1148
--------------------------------------------------------------------------------
Block #1676
Seq_id	Strand	Start	End	Length
250	+	948105	971274	23169
272	+	4759807	4784424	24617
--------------------------------------------------------------------------------
Block #1675
Seq_id	Strand	Start	End	Length
250	+	941108	945092	3984
272	+	4752781	4756756	3975
--------------------------------------------------------------------------------
Block #1674
Seq_id	Strand	Start	End	Length
248	+	9046	10080	1034
250	+	2922026	2923051	1025
--------------------------------------------------------------------------------
Block #1673
Seq_id	Strand	Start	End	Length
245	+	2749484	2750709	1225
300	+	2764672	2765871	1199
300	+	2787951	2789150	1199
--------------------------------------------------------------------------------
Block #1672
Seq_id	Strand	Start	End	Length
245	+	1315367	1316685	1318
245	+	1428106	1429426	1320
245	+	2217044	2218365	1321
245	+	3203883	3205204	1321
326	+	1611219	1612532	1313
330	-	2348256	2346940	1316
--------------------------------------------------------------------------------
Block #1671
Seq_id	Strand	Start	End	Length
245	+	1179317	1180364	1047
245	+	1954855	1955889	1034
245	+	4291462	4292481	1019
--------------------------------------------------------------------------------
Block #1670
Seq_id	Strand	Start	End	Length
245	+	694147	695380	1233
245	-	2250180	2248919	1261
--------------------------------------------------------------------------------
Block #1669
Seq_id	Strand	Start	End	Length
245	+	427226	428260	1034
245	-	3747227	3746192	1035
--------------------------------------------------------------------------------
Block #1668
Seq_id	Strand	Start	End	Length
244	+	2773891	2774905	1014
244	+	3605013	3606027	1014
244	+	3874170	3875184	1014
244	+	4062506	4063520	1014
--------------------------------------------------------------------------------
Block #1667
Seq_id	Strand	Start	End	Length
244	+	2454767	2456193	1426
244	+	3012357	3013799	1442
--------------------------------------------------------------------------------
Block #1666
Seq_id	Strand	Start	End	Length
244	+	2010344	2011356	1012
244	-	4264155	4263141	1014
--------------------------------------------------------------------------------
Block #1665
Seq_id	Strand	Start	End	Length
244	+	1742546	1745341	2795
245	-	1629340	1626531	2809
--------------------------------------------------------------------------------
Block #1664
Seq_id	Strand	Start	End	Length
244	+	1572795	1577940	5145
252	+	2575665	2580811	5146
--------------------------------------------------------------------------------
Block #1663
Seq_id	Strand	Start	End	Length
244	+	1571658	1572793	1135
252	+	2573187	2574332	1145
--------------------------------------------------------------------------------
Block #1662
Seq_id	Strand	Start	End	Length
244	+	1565036	1569941	4905
252	+	2567247	2572150	4903
--------------------------------------------------------------------------------
Block #1661
Seq_id	Strand	Start	End	Length
244	+	1478664	1480116	1452
245	-	1645010	1643555	1455
--------------------------------------------------------------------------------
Block #1660
Seq_id	Strand	Start	End	Length
244	+	693069	695185	2116
338	-	3059171	3056893	2278
--------------------------------------------------------------------------------
Block #1659
Seq_id	Strand	Start	End	Length
244	+	691726	692739	1013
244	+	1130746	1131759	1013
244	+	1623679	1624690	1011
244	-	4203506	4202492	1014
--------------------------------------------------------------------------------
Block #1658
Seq_id	Strand	Start	End	Length
244	+	436877	437905	1028
244	+	1608083	1609095	1012
244	+	3826005	3827017	1012
244	-	3970071	3969058	1013
244	-	4121896	4120883	1013
244	-	4304868	4303855	1013
244	-	4564917	4563904	1013
--------------------------------------------------------------------------------
Block #1657
Seq_id	Strand	Start	End	Length
244	+	135360	136374	1014
244	+	233178	234190	1012
244	+	1872616	1873630	1014
244	+	2037276	2038290	1014
244	-	2325553	2324540	1013
244	+	2439901	2440915	1014
244	-	2461636	2460622	1014
244	-	3934235	3933207	1028
244	+	3977994	3979008	1014
244	-	4220464	4219450	1014
244	+	4460204	4461218	1014
244	+	4584849	4585864	1015
268	+	43528	44543	1015
--------------------------------------------------------------------------------
Block #1656
Seq_id	Strand	Start	End	Length
244	+	132933	133945	1012
244	-	304454	303443	1011
244	-	326720	325707	1013
244	+	746903	747914	1011
244	-	1118693	1117680	1013
244	-	1422848	1421838	1010
244	+	1477331	1478343	1012
244	-	1758934	1757921	1013
244	-	1855022	1854009	1013
244	-	2222643	2221630	1013
244	-	2313284	2312273	1011
244	+	2496886	2497898	1012
244	-	4232663	4231650	1013
244	+	4436414	4437426	1012
244	+	4816289	4817301	1012
268	+	145880	146892	1012
268	-	148972	147959	1013
268	-	157311	156298	1013
--------------------------------------------------------------------------------
Block #1655
Seq_id	Strand	Start	End	Length
244	+	85709	86720	1011
244	+	437923	438936	1013
244	+	518941	519954	1013
244	+	593664	594677	1013
244	-	678421	677410	1011
244	+	1386051	1387064	1013
244	-	2450363	2449349	1014
244	-	3387277	3386263	1014
244	-	3446648	3445634	1014
244	+	4660565	4661578	1013
268	-	19996	18982	1014
--------------------------------------------------------------------------------
Block #1654
Seq_id	Strand	Start	End	Length
242	+	2106273	2107961	1688
245	+	1959787	1961475	1688
253	+	295413	297101	1688
--------------------------------------------------------------------------------
Block #1653
Seq_id	Strand	Start	End	Length
242	+	2101365	2103874	2509
245	+	1952345	1954854	2509
253	+	290505	293014	2509
--------------------------------------------------------------------------------
Block #1652
Seq_id	Strand	Start	End	Length
242	+	2091479	2094842	3363
253	+	278105	281476	3371
--------------------------------------------------------------------------------
Block #1651
Seq_id	Strand	Start	End	Length
242	+	2087432	2089319	1887
253	+	274058	275945	1887
--------------------------------------------------------------------------------
Block #1650
Seq_id	Strand	Start	End	Length
242	+	1853318	1854433	1115
242	+	3776050	3777165	1115
242	-	4467766	4466652	1114
--------------------------------------------------------------------------------
Block #1649
Seq_id	Strand	Start	End	Length
240	+	2936904	2938407	1503
257	-	3715489	3713987	1502
--------------------------------------------------------------------------------
Block #1648
Seq_id	Strand	Start	End	Length
238	+	4409479	4410819	1340
253	-	4196385	4195045	1340
260	+	3257754	3259094	1340
261	-	323451	322111	1340
265	+	490984	492324	1340
312	+	606452	607792	1340
--------------------------------------------------------------------------------
Block #1647
Seq_id	Strand	Start	End	Length
238	+	1720190	1721335	1145
252	+	563861	565006	1145
261	-	3003056	3001911	1145
265	+	2514157	2515302	1145
312	+	2649077	2650222	1145
--------------------------------------------------------------------------------
Block #1646
Seq_id	Strand	Start	End	Length
238	+	895725	896749	1024
238	+	1387810	1388812	1002
238	-	4221982	4220956	1026
261	-	279158	278145	1013
261	+	492405	493417	1012
261	+	505991	507002	1011
265	-	308442	307431	1011
265	-	322029	321016	1013
265	+	533757	534769	1012
312	+	650738	651750	1012
--------------------------------------------------------------------------------
Block #1645
Seq_id	Strand	Start	End	Length
238	+	639603	640614	1011
238	+	1370093	1371102	1009
--------------------------------------------------------------------------------
Block #1644
Seq_id	Strand	Start	End	Length
238	+	172827	174215	1388
250	+	1396382	1397770	1388
272	+	4863237	4864625	1388
--------------------------------------------------------------------------------
Block #1643
Seq_id	Strand	Start	End	Length
237	+	128014	129213	1199
245	-	306238	305044	1194
245	+	1633648	1634843	1195
245	+	4437764	4438954	1190
--------------------------------------------------------------------------------
Block #1642
Seq_id	Strand	Start	End	Length
235	+	4016044	4025536	9492
235	+	4025538	4035055	9517
235	+	4035056	4044542	9486
--------------------------------------------------------------------------------
Block #1641
Seq_id	Strand	Start	End	Length
235	+	238179	239717	1538
235	-	748375	746842	1533
341	-	156823	155290	1533
--------------------------------------------------------------------------------
Block #1640
Seq_id	Strand	Start	End	Length
233	+	4306491	4307607	1116
260	+	1853017	1854133	1116
--------------------------------------------------------------------------------
Block #1639
Seq_id	Strand	Start	End	Length
230	+	3846734	3855716	8982
319	-	3733708	3724726	8982
--------------------------------------------------------------------------------
Block #1638
Seq_id	Strand	Start	End	Length
230	+	3837459	3839414	1955
319	-	3743081	3741139	1942
--------------------------------------------------------------------------------
Block #1637
Seq_id	Strand	Start	End	Length
230	+	3159494	3160547	1053
244	-	4277255	4276205	1050
--------------------------------------------------------------------------------
Block #1636
Seq_id	Strand	Start	End	Length
230	+	3081904	3085500	3596
244	+	4461219	4465737	4518
--------------------------------------------------------------------------------
Block #1635
Seq_id	Strand	Start	End	Length
230	+	3078244	3081903	3659
244	-	4441405	4437747	3658
--------------------------------------------------------------------------------
Block #1634
Seq_id	Strand	Start	End	Length
230	+	2869367	2877836	8469
319	-	137179	128698	8481
--------------------------------------------------------------------------------
Block #1633
Seq_id	Strand	Start	End	Length
230	+	2806857	2807976	1119
244	-	4753892	4752772	1120
--------------------------------------------------------------------------------
Block #1632
Seq_id	Strand	Start	End	Length
230	+	2786023	2787511	1488
244	-	4776449	4774921	1528
319	-	221431	219903	1528
--------------------------------------------------------------------------------
Block #1631
Seq_id	Strand	Start	End	Length
230	+	2705163	2707256	2093
244	-	4819762	4817661	2101
--------------------------------------------------------------------------------
Block #1630
Seq_id	Strand	Start	End	Length
230	+	2504509	2508352	3843
245	+	4123307	4127149	3842
319	-	438233	434389	3844
--------------------------------------------------------------------------------
Block #1629
Seq_id	Strand	Start	End	Length
230	+	2501476	2504507	3031
319	-	441266	438234	3032
--------------------------------------------------------------------------------
Block #1628
Seq_id	Strand	Start	End	Length
230	+	2245227	2248663	3436
319	-	637777	634352	3425
326	-	2638937	2635503	3434
--------------------------------------------------------------------------------
Block #1627
Seq_id	Strand	Start	End	Length
230	+	2191734	2201921	10187
319	-	665060	654876	10184
--------------------------------------------------------------------------------
Block #1626
Seq_id	Strand	Start	End	Length
230	+	2072922	2076778	3856
244	+	444321	448134	3813
--------------------------------------------------------------------------------
Block #1625
Seq_id	Strand	Start	End	Length
230	+	1967935	1969792	1857
244	-	558365	556498	1867
--------------------------------------------------------------------------------
Block #1624
Seq_id	Strand	Start	End	Length
230	+	1366074	1368845	2771
244	+	3156325	3159095	2770
--------------------------------------------------------------------------------
Block #1623
Seq_id	Strand	Start	End	Length
230	+	1359665	1366072	6407
244	+	3148311	3154721	6410
--------------------------------------------------------------------------------
Block #1622
Seq_id	Strand	Start	End	Length
230	+	730267	731317	1050
244	+	2936661	2937726	1065
--------------------------------------------------------------------------------
Block #1621
Seq_id	Strand	Start	End	Length
230	+	686159	688008	1849
230	+	882691	884540	1849
--------------------------------------------------------------------------------
Block #1620
Seq_id	Strand	Start	End	Length
230	+	516120	517224	1104
230	+	523252	524356	1104
230	+	1821456	1822560	1104
230	+	1827294	1828398	1104
--------------------------------------------------------------------------------
Block #1619
Seq_id	Strand	Start	End	Length
229	+	196681	197691	1010
338	-	1790902	1789893	1009
--------------------------------------------------------------------------------
Block #1618
Seq_id	Strand	Start	End	Length
223	+	79144	80267	1123
273	+	79149	80272	1123
274	-	24847	23724	1123
--------------------------------------------------------------------------------
Block #1617
Seq_id	Strand	Start	End	Length
221	+	3589712	3590891	1179
230	+	2771259	2772438	1179
240	-	4443128	4441949	1179
--------------------------------------------------------------------------------
Block #1616
Seq_id	Strand	Start	End	Length
221	+	3581795	3585023	3228
240	-	4451044	4447817	3227
--------------------------------------------------------------------------------
Block #1615
Seq_id	Strand	Start	End	Length
221	+	2689552	2690812	1260
240	-	320904	319644	1260
240	+	1251220	1252482	1262
--------------------------------------------------------------------------------
Block #1614
Seq_id	Strand	Start	End	Length
221	+	1688276	1689395	1119
240	-	1318045	1316926	1119
--------------------------------------------------------------------------------
Block #1613
Seq_id	Strand	Start	End	Length
221	+	1680430	1681580	1150
240	-	1325891	1324741	1150
--------------------------------------------------------------------------------
Block #1612
Seq_id	Strand	Start	End	Length
221	+	1568715	1572309	3594
240	-	1447548	1443938	3610
--------------------------------------------------------------------------------
Block #1611
Seq_id	Strand	Start	End	Length
221	+	1565090	1568713	3623
240	-	1453292	1449665	3627
--------------------------------------------------------------------------------
Block #1610
Seq_id	Strand	Start	End	Length
221	+	1549010	1563755	14745
240	-	1469374	1454627	14747
--------------------------------------------------------------------------------
Block #1609
Seq_id	Strand	Start	End	Length
221	+	1539001	1547612	8611
240	-	1480705	1470857	9848
--------------------------------------------------------------------------------
Block #1608
Seq_id	Strand	Start	End	Length
221	+	1066753	1068024	1271
240	-	1954498	1953227	1271
--------------------------------------------------------------------------------
Block #1607
Seq_id	Strand	Start	End	Length
221	+	1055087	1056122	1035
240	+	1962367	1963403	1036
--------------------------------------------------------------------------------
Block #1606
Seq_id	Strand	Start	End	Length
218	+	4424875	4426042	1167
300	+	1829976	1831143	1167
--------------------------------------------------------------------------------
Block #1605
Seq_id	Strand	Start	End	Length
218	+	4243956	4247498	3542
341	-	3976014	3972470	3544
--------------------------------------------------------------------------------
Block #1604
Seq_id	Strand	Start	End	Length
218	+	4240356	4241552	1196
341	-	3979618	3978422	1196
--------------------------------------------------------------------------------
Block #1603
Seq_id	Strand	Start	End	Length
218	+	3899675	3900897	1222
250	-	1721431	1720209	1222
341	-	4299545	4298322	1223
--------------------------------------------------------------------------------
Block #1602
Seq_id	Strand	Start	End	Length
218	+	3867406	3868445	1039
341	-	4331839	4330801	1038
--------------------------------------------------------------------------------
Block #1601
Seq_id	Strand	Start	End	Length
218	+	3858610	3859962	1352
341	-	4340641	4339291	1350
--------------------------------------------------------------------------------
Block #1600
Seq_id	Strand	Start	End	Length
218	+	1817674	1818992	1318
218	+	1828847	1830112	1265
341	+	696046	697311	1265
--------------------------------------------------------------------------------
Block #1599
Seq_id	Strand	Start	End	Length
218	+	1289412	1290679	1267
341	-	3571974	3570706	1268
--------------------------------------------------------------------------------
Block #1598
Seq_id	Strand	Start	End	Length
218	+	1039433	1052982	13549
341	-	2116758	2103190	13568
--------------------------------------------------------------------------------
Block #1597
Seq_id	Strand	Start	End	Length
217	+	2583156	2584488	1332
238	+	3198263	3199595	1332
258	-	3145854	3144523	1331
272	+	2916295	2917624	1329
289	-	277343	276011	1332
312	-	3255277	3253946	1331
330	-	4340803	4339471	1332
--------------------------------------------------------------------------------
Block #1596
Seq_id	Strand	Start	End	Length
217	+	1953911	1954983	1072
258	+	3044897	3045925	1028
258	+	4444228	4445255	1027
269	+	679658	680730	1072
--------------------------------------------------------------------------------
Block #1595
Seq_id	Strand	Start	End	Length
217	+	1488649	1491209	2560
258	+	4102282	4104845	2563
269	-	942708	940149	2559
--------------------------------------------------------------------------------
Block #1594
Seq_id	Strand	Start	End	Length
217	+	582738	585082	2344
258	-	439898	437565	2333
330	+	1324195	1326528	2333
--------------------------------------------------------------------------------
Block #1593
Seq_id	Strand	Start	End	Length
213	+	44453	46557	2104
230	-	2409408	2407304	2104
--------------------------------------------------------------------------------
Block #1592
Seq_id	Strand	Start	End	Length
211	+	3164653	3166592	1939
244	+	2933821	2935750	1929
--------------------------------------------------------------------------------
Block #1591
Seq_id	Strand	Start	End	Length
211	+	539394	540760	1366
279	-	3951610	3950279	1331
--------------------------------------------------------------------------------
Block #1590
Seq_id	Strand	Start	End	Length
204	+	149313	150419	1106
263	-	175116	174010	1106
314	+	136939	138045	1106
336	-	55890	54784	1106
--------------------------------------------------------------------------------
Block #1589
Seq_id	Strand	Start	End	Length
199	+	2857203	2858961	1758
320	-	330778	329020	1758
--------------------------------------------------------------------------------
Block #1588
Seq_id	Strand	Start	End	Length
199	+	2117287	2118380	1093
219	+	1659192	1660285	1093
--------------------------------------------------------------------------------
Block #1587
Seq_id	Strand	Start	End	Length
199	+	514526	515842	1316
242	-	2917901	2916595	1306
245	-	111153	109834	1319
245	-	2377029	2375708	1321
245	-	4198578	4197258	1320
245	+	4402832	4404160	1328
250	+	1926878	1928239	1361
258	-	1327128	1325806	1322
269	-	1521966	1520639	1327
300	+	2597975	2599301	1326
341	+	2523899	2525224	1325
--------------------------------------------------------------------------------
Block #1586
Seq_id	Strand	Start	End	Length
192	+	3050588	3051659	1071
240	-	4157225	4156142	1083
--------------------------------------------------------------------------------
Block #1585
Seq_id	Strand	Start	End	Length
192	+	2920099	2922650	2551
230	+	2221410	2223860	2450
